HHID,HHID_old,resp_iid,spouse_iid,muslim,age_2018,sex,New_edu,wealth_total,CropFailRecent,RiverErodeRecent,KinDispRecent,BusLossRecent,NeighDispRecent,UnemployRecent,NatDisRecent,SmDebtRecent,LgDebtRecent,SickSelfRecent,SickFamRecent,netsize,mutual,mutual_prop,long,long_prop,local,local_prop,support_in,support_in_prop,support_out,support_out_prop,
HH634,HHQ634,HUS347,IND4744,1,40,1,5,375025,0,0,0,0,0,1,0,0,0,0,1,14,3,0.214285714,1,0.071428571,9,0.642857143,5,0.357142857,8,0.571428571,
HH121,HHQ121,HUS348,IND0934,1,39,1,10,518125,0,0,0,0,0,1,0,0,0,1,1,12,0,0,3,0.25,6,0.5,5,0.416666667,1,0.083333333,
HH401,HHQ401,HUS349,IND3052,1,64,1,0,315325,1,0,0,0,0,1,0,0,1,0,0,12,2,0.166666667,1,0.083333333,10,0.833333333,7,0.583333333,5,0.416666667,
HH131,HHQ131,HUS350,IND1016,1,63,1,1,126965,0,0,0,0,0,0,0,0,1,1,1,15,0,0,2,0.133333333,8,0.533333333,6,0.4,4,0.266666667,
HH006,HHQ006,HUS351,IND0038,1,61,1,1,231025,0,0,0,1,0,1,0,0,0,1,1,11,1,0.090909091,2,0.181818182,9,0.818181818,4,0.363636364,6,0.545454545,
HH085,HHQ085,HUS352,IND0649,1,65,1,10,655400,0,0,0,0,0,0,0,0,0,0,1,6,2,0.333333333,0,0,5,0.833333333,3,0.5,2,0.333333333,
HH210,HHQ210,HUS353,IND1645,1,46,1,12,232350,0,0,0,1,1,0,0,1,1,1,1,19,1,0.052631579,1,0.052631579,18,0.947368421,8,0.421052632,9,0.473684211,
HH079,HHQ079,HUS354,IND0607,1,34,1,5,180795,1,0,1,0,1,0,0,0,1,0,1,14,4,0.285714286,0,0,13,0.928571429,9,0.642857143,4,0.285714286,
HH042,HHQ042,HUS355,IND0320,1,61,1,0,272425,0,0,0,0,0,1,0,1,1,1,1,15,6,0.4,2,0.133333333,8,0.533333333,10,0.666666667,7,0.466666667,
HH399,HHQ399,HUS356,IND3028,1,63,1,0,141525,0,0,0,0,0,1,0,0,1,1,1,12,1,0.083333333,1,0.083333333,11,0.916666667,6,0.5,4,0.333333333,
HH014,HHQ014,HUS357,IND0100,1,51,1,7,329850,0,0,0,1,0,0,0,0,0,1,1,9,1,0.111111111,3,0.333333333,6,0.666666667,4,0.444444444,2,0.222222222,
HH656,HHQ656,HUS358,IND4917,1,41,1,8,97075,1,0,0,0,0,0,0,0,1,1,1,22,6,0.272727273,4,0.181818182,18,0.818181818,15,0.681818182,13,0.590909091,
HH099,HHQ099,HUS359,IND0754,0,44,1,14,174100,0,0,0,0,0,0,0,0,0,0,1,9,0,0,1,0.111111111,6,0.666666667,1,0.111111111,4,0.444444444,
HH142,HHQ142,HUS360,IND1110,1,78,1,0,147975,1,0,1,0,1,1,1,0,1,1,0,10,0,0,0,0,10,1,4,0.4,0,0,
HH272,HHQ272,HUS361,IND2055,1,48,1,6,108050,0,0,0,0,0,0,0,0,1,1,1,6,1,0.166666667,0,0,6,1,3,0.5,2,0.333333333,
HH582,HHQ582,HUS362,IND4393,1,43,1,4,144345,0,0,0,0,0,0,0,0,1,0,1,16,5,0.3125,0,0,9,0.5625,13,0.8125,5,0.3125,
HH396,HHQ396,HUS363,IND3007,1,39,1,8,199325,0,0,0,0,0,0,0,0,1,0,1,13,1,0.076923077,0,0,13,1,7,0.538461538,4,0.307692308,
HH040,HHQ040,HUS364,IND0300,1,45,1,13,149075,0,0,0,0,0,0,0,0,0,1,1,9,1,0.111111111,2,0.222222222,4,0.444444444,2,0.222222222,3,0.333333333,
HH091,HHQ091,HUS365,IND0690,1,57,1,5,194470,0,0,0,0,0,1,0,1,1,0,0,8,1,0.125,3,0.375,5,0.625,4,0.5,2,0.25,
HH507,HHQ507,HUS366,IND3832,1,65,1,7,402050,0,0,0,0,1,0,0,0,0,0,1,9,3,0.333333333,4,0.444444444,4,0.444444444,6,0.666666667,3,0.333333333,
HH224,HHQ224,HUS367,IND1727,1,61,1,14,295250,1,0,0,0,0,0,0,0,0,0,0,8,2,0.25,0,0,4,0.5,4,0.5,3,0.375,
HH382,HHQ382,HUS368,IND2898,1,55,1,2,167070,1,0,0,0,0,0,0,0,1,1,0,13,2,0.153846154,3,0.230769231,10,0.769230769,9,0.692307692,3,0.230769231,
HH540,HHQ540,HUS369,IND4066,1,38,1,7,318100,0,0,1,0,1,0,0,0,1,1,0,11,0,0,1,0.090909091,6,0.545454545,5,0.454545455,2,0.181818182,
HH076,HHQ076,HUS370,IND0589,1,64,1,5,400075,1,0,1,0,1,1,0,1,1,1,1,13,3,0.230769231,0,0,11,0.846153846,8,0.615384615,6,0.461538462,
HH764,HHQ766,HUS371,IND5816,1,67,1,1,180075,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,9,1,6,0.666666667,0,0,
HH213,HHQ213,HUS372,IND1668,1,75,1,2,194225,0,0,0,0,0,1,0,1,1,0,1,8,2,0.25,2,0.25,6,0.75,2,0.25,2,0.25,
HH246,HHQ246,HUS373,IND1877,1,40,1,5,58555,0,0,0,0,0,0,0,1,1,1,0,19,6,0.315789474,0,0,17,0.894736842,10,0.526315789,7,0.368421053,
#N/A,#N/A,HUS374,#N/A,#N/A,77,1,,,,,,,,,,,,,,13,7,0.538461538,0,0,11,0.846153846,7,0.538461538,9,0.692307692,
HH485,HHQ485,HUS375,IND3661,1,43,1,12,401065,1,0,0,0,0,1,1,0,1,0,0,11,0,0,0,0,11,1,7,0.636363636,2,0.181818182,
HH589,HHQ589,HUS376,IND4433,1,50,1,12,157425,1,0,0,0,0,0,0,0,0,1,1,12,6,0.5,8,0.666666667,4,0.333333333,8,0.666666667,8,0.666666667,
HH064,HHQ064,HUS377,IND0492,1,41,1,5,190375,1,0,0,0,0,0,0,1,1,0,1,11,2,0.181818182,2,0.181818182,9,0.818181818,6,0.545454545,2,0.181818182,
HH176,HHQ176,HUS378,IND1375,1,55,1,0,149735,0,0,0,0,0,0,0,1,1,1,0,10,0,0,5,0.5,5,0.5,4,0.4,2,0.2,
HH439,HHQ439,HUS379,IND3326,0,62,1,0,402575,0,0,0,0,0,0,0,0,1,1,0,9,0,0,4,0.444444444,5,0.555555556,3,0.333333333,0,0,
HH319,HHQ319,HUS380,IND2384,1,71,1,5,228425,0,0,0,0,0,0,0,0,0,0,0,11,5,0.454545455,1,0.090909091,9,0.818181818,5,0.454545455,6,0.545454545,
HH104,HHQ104,HUS381,IND0790,1,55,1,8,291750,0,0,0,0,1,0,0,1,1,1,1,12,1,0.083333333,1,0.083333333,2,0.166666667,3,0.25,4,0.333333333,
HH028,HHQ028,HUS382,IND0195,1,52,1,9,221740,1,1,0,0,0,0,0,0,1,1,0,13,3,0.230769231,2,0.153846154,10,0.769230769,9,0.692307692,3,0.230769231,
HH500,HHQ500,HUS383,IND3782,1,73,1,7,199290,0,0,0,1,0,0,0,0,1,1,1,11,2,0.181818182,1,0.090909091,10,0.909090909,3,0.272727273,4,0.363636364,
HH101,HHQ101,HUS384,IND0768,1,40,1,9,173700,0,0,0,0,0,1,0,0,0,0,0,9,2,0.222222222,0,0,7,0.777777778,3,0.333333333,2,0.222222222,
HH029,HHQ029,HUS385,IND0200,1,62,1,0,352975,1,0,0,0,0,1,0,0,0,0,0,13,0,0,3,0.230769231,9,0.692307692,7,0.538461538,3,0.230769231,
HH696,HHQ698,HUS386,IND5271,1,73,1,5,759775,1,0,0,0,0,0,0,0,0,0,0,16,5,0.3125,5,0.3125,11,0.6875,5,0.3125,10,0.625,
HH130,HHQ130,HUS387,IND1001,1,64,1,9,281950,1,0,0,0,0,0,0,1,1,1,0,14,2,0.142857143,0,0,14,1,4,0.285714286,6,0.428571429,
HH632,HHQ632,HUS388,IND4729,1,78,1,0,145725,0,0,0,0,0,0,0,1,1,1,1,9,0,0,2,0.222222222,6,0.666666667,2,0.222222222,2,0.222222222,
HH126,HHQ126,HUS389,IND0971,1,62,1,5,432125,0,0,0,0,0,0,0,0,0,1,1,11,5,0.454545455,3,0.272727273,6,0.545454545,6,0.545454545,5,0.454545455,
HH420,HHQ420,HUS390,IND3178,1,76,1,0,205325,1,0,0,0,0,1,0,1,1,1,0,11,5,0.454545455,2,0.181818182,9,0.818181818,6,0.545454545,5,0.454545455,
HH681,HHQ683,HUS391,IND5123,1,72,1,0,127900,1,0,0,0,1,0,0,0,1,0,1,9,1,0.111111111,2,0.222222222,6,0.666666667,7,0.777777778,1,0.111111111,
HH281,HHQ281,HUS392,IND2121,1,42,1,0,194375,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,17,1,9,0.529411765,6,0.352941176,
HH530,HHQ530,HUS393,IND4006,1,78,1,0,354630,1,0,0,0,0,0,0,0,0,1,0,17,1,0.058823529,6,0.352941176,11,0.647058824,4,0.235294118,6,0.352941176,
HH724,HHQ726,HUS394,IND5499,1,34,1,0,217125,0,0,0,0,0,1,0,0,1,1,0,8,1,0.125,1,0.125,4,0.5,4,0.5,3,0.375,
HH476,HHQ476,HUS395,IND3594,0,48,1,0,123910,0,0,0,0,0,0,0,1,1,0,0,11,0,0,0,0,10,0.909090909,6,0.545454545,2,0.181818182,
HH565,HHQ565,HUS396,IND4261,0,61,1,1,203725,0,0,0,0,0,1,0,1,1,0,1,7,1,0.142857143,0,0,7,1,3,0.428571429,2,0.285714286,
HH269,HHQ269,HUS397,IND2041,1,50,1,12,733350,1,0,0,0,0,0,0,0,0,1,0,17,3,0.176470588,6,0.352941176,8,0.470588235,8,0.470588235,8,0.470588235,
HH511,HHQ511,HUS398,IND3863,1,29,1,15,413775,0,0,0,0,0,0,0,0,1,1,1,16,5,0.3125,9,0.5625,4,0.25,8,0.5,10,0.625,
HH501,HHQ501,HUS399,IND3789,1,35,1,5,88000,0,0,0,0,0,0,0,0,1,0,1,14,3,0.214285714,1,0.071428571,11,0.785714286,4,0.285714286,8,0.571428571,
HH132,HHQ132,HUS400,IND1026,1,70,1,0,152875,0,0,0,0,0,0,0,0,1,0,1,16,3,0.1875,2,0.125,8,0.5,6,0.375,9,0.5625,
HH477,HHQ477,HUS401,IND3602,1,67,1,0,396215,0,0,0,0,0,0,0,0,0,1,1,13,5,0.384615385,0,0,10,0.769230769,5,0.384615385,8,0.615384615,
HH097,HHQ097,HUS402,IND0729,1,65,1,0,115450,0,0,0,0,1,0,0,0,0,1,1,11,5,0.454545455,2,0.181818182,6,0.545454545,7,0.636363636,5,0.454545455,
HH448,HHQ448,HUS403,IND3400,1,75,1,0,237965,0,0,0,0,0,0,0,0,1,1,1,18,3,0.166666667,7,0.388888889,10,0.555555556,10,0.555555556,8,0.444444444,
HH617,HHQ617,HUS404,IND4625,1,65,1,1,211250,0,0,0,1,0,1,0,1,1,1,1,9,2,0.222222222,1,0.111111111,8,0.888888889,3,0.333333333,4,0.444444444,
HH180,HHQ180,HUS405,IND1402,1,40,1,6,251735,0,0,0,0,1,0,0,0,1,1,1,13,1,0.076923077,7,0.538461538,4,0.307692308,7,0.538461538,4,0.307692308,
HH225,HHQ225,HUS406,IND1732,1,47,1,3,209700,1,0,0,0,0,0,0,0,1,1,0,14,3,0.214285714,4,0.285714286,8,0.571428571,8,0.571428571,4,0.285714286,
HH290,HHQ290,HUS407,IND2180,1,37,1,7,161660,0,0,1,0,1,0,0,0,1,0,1,11,3,0.272727273,0,0,7,0.636363636,5,0.454545455,5,0.454545455,
HH492,HHQ492,HUS408,IND3717,1,50,1,0,60201,0,0,0,0,0,0,0,0,0,1,0,17,3,0.176470588,3,0.176470588,13,0.764705882,9,0.529411765,5,0.294117647,
HH556,HHQ556,HUS409,IND4189,1,66,1,6,411225,0,0,0,1,0,0,0,0,0,1,1,9,1,0.111111111,2,0.222222222,7,0.777777778,4,0.444444444,5,0.555555556,
HH649,HHQ649,HUS410,IND4860,1,32,1,8,222655,1,0,0,1,0,0,0,0,1,0,1,20,3,0.15,0,0,18,0.9,8,0.4,11,0.55,
HH718,HHQ720,HUS411,IND5453,1,48,1,0,171595,0,1,0,1,1,0,1,1,1,1,1,17,1,0.058823529,3,0.176470588,11,0.647058824,5,0.294117647,6,0.352941176,
HH016,HHQ016,HUS412,IND0111,1,58,1,12,458140,1,0,0,1,0,0,0,0,1,1,1,11,1,0.090909091,1,0.090909091,4,0.363636364,2,0.181818182,5,0.454545455,
